experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size
SE,FT,Machine Learning Engineer,165600,100,M
MI,FT,Data Engineer,90000,0,M
MI,FT,Data Engineer,70000,0,M
EN,FT,Data Scientist,137000,0,M
EN,FT,Data Scientist,60400,0,M
SE,FT,Data Engineer,170000,100,M
SE,FT,Data Engineer,146000,100,M
SE,FT,Machine Learning Engineer,220600,0,M
SE,FT,Machine Learning Engineer,140100,0,M
SE,FT,Data Engineer,137500,0,M
SE,FT,Data Engineer,81500,0,M
SE,FT,Data Scientist,249000,0,M
SE,FT,Data Scientist,216000,0,M
SE,FT,Data Engineer,170040,0,M
SE,FT,Data Engineer,113360,0,M
EN,FT,Data Analyst,83300,0,M
EN,FT,Data Analyst,47500,0,M
SE,FT,Data Scientist,200000,100,M
SE,FT,Data Scientist,148500,100,M
SE,FT,Data Engineer,110000,100,M
SE,FT,Data Engineer,90000,100,M
MI,FT,Data Engineer,142000,100,M
MI,FT,Data Engineer,129500,100,M
SE,FT,Data Engineer,170000,0,M
SE,FT,Data Engineer,130000,0,M
SE,FT,Data Engineer,159550,0,M
SE,FT,Data Engineer,113000,0,M
MI,FT,Data Engineer,135000,0,M
MI,FT,Data Engineer,100000,0,M
MI,FT,Machine Learning Engineer,245400,0,M
MI,FT,Machine Learning Engineer,139000,0,M
SE,FT,Data Engineer,190000,0,M
SE,FT,Data Engineer,167000,0,M
SE,FT,Machine Learning Engineer,304000,0,M
SE,FT,Machine Learning Engineer,244000,0,M
EN,FT,Data Analyst,62500,0,M
EN,FT,Data Analyst,55000,0,M
SE,FT,Data Scientist,247600,0,L
SE,FT,Data Scientist,127300,0,L
MI,FT,Data Scientist,110000,100,M
MI,FT,Data Scientist,90000,100,M
EN,FT,Data Analyst,156000,0,M
EN,FT,Data Analyst,94000,0,M
MI,FT,Data Analyst,95000,0,M
MI,FT,Data Analyst,80000,0,M
EN,FT,Data Scientist,66666,0,M
EN,FT,Data Scientist,44444,0,M
SE,FT,Data Engineer,138000,0,M
SE,FT,Data Engineer,86000,0,M
SE,FT,Data Scientist,234000,0,M
SE,FT,Data Scientist,146000,0,M
MI,FT,Data Engineer,157500,0,M
MI,FT,Data Engineer,149900,0,M
SE,FT,Data Analyst,169000,0,M
SE,FT,Data Analyst,105000,0,M
SE,FT,Data Engineer,148017,100,M
SE,FT,Data Engineer,87069,100,M
SE,FT,Data Analyst,149925,0,M
SE,FT,Data Analyst,91260,0,M
SE,FT,Data Scientist,155000,100,M
SE,FT,Data Scientist,120000,100,M
MI,FT,Data Analyst,77280,0,M
MI,FT,Data Analyst,58000,0,M
SE,FT,Data Engineer,170200,100,M
SE,FT,Data Engineer,125800,100,M
MI,FT,Data Analyst,125000,100,M
MI,FT,Data Analyst,100000,100,M
MI,FT,Data Scientist,157144,0,M
MI,FT,Data Scientist,93101,0,M
SE,FT,Data Scientist,160769,0,M
SE,FT,Data Scientist,115384,0,M
SE,FT,Machine Learning Engineer,189000,0,M
SE,FT,Machine Learning Engineer,145400,0,M
SE,FT,Data Engineer,154000,0,M
SE,FT,Data Engineer,103000,0,M
SE,FT,Data Analyst,209000,0,M
SE,FT,Data Analyst,120000,0,M
MI,FT,Machine Learning Engineer,200000,0,M
MI,FT,Machine Learning Engineer,160000,0,M
MI,FT,Data Scientist,110000,100,M
MI,FT,Data Scientist,90000,100,M
SE,FT,Data Scientist,252000,0,M
SE,FT,Data Scientist,168000,0,M
SE,FT,Data Scientist,385000,100,M
SE,FT,Data Scientist,130000,100,M
MI,FT,Data Scientist,150000,0,M
MI,FT,Data Scientist,127500,0,M
MI,FT,Data Scientist,285200,100,M
MI,FT,Data Scientist,168600,100,M
SE,FT,Data Scientist,223500,0,M
SE,FT,Data Scientist,109100,0,M
EN,FT,Data Analyst,64500,0,M
EN,FT,Data Analyst,46500,0,M
SE,FT,Data Engineer,180500,0,M
SE,FT,Data Engineer,96200,0,M
MI,FT,Data Analyst,86940,0,M
MI,FT,Data Analyst,66000,0,M
MI,FT,Data Analyst,77280,0,M
MI,FT,Data Analyst,58000,0,M
EN,FT,Data Analyst,97000,0,M
EN,FT,Data Analyst,62000,0,M
SE,FT,Machine Learning Engineer,296400,0,M
SE,FT,Machine Learning Engineer,159600,0,M
SE,FT,Data Scientist,153000,0,M
SE,FT,Data Scientist,135000,0,M
MI,FT,Data Scientist,145000,0,M
MI,FT,Data Scientist,125000,0,M
SE,FT,Machine Learning Engineer,278000,0,M
SE,FT,Machine Learning Engineer,196000,0,M
SE,FT,Data Engineer,140000,100,M
SE,FT,Data Engineer,100000,100,M
MI,FT,Data Scientist,45000,100,M
MI,FT,Data Scientist,30000,100,M
SE,FT,Data Scientist,218000,0,M
SE,FT,Data Scientist,145000,0,M
SE,FT,Data Analyst,100000,0,M
SE,FT,Data Analyst,86220,0,M
MI,FT,Data Engineer,190000,0,M
MI,FT,Data Engineer,150000,0,M
MI,FT,Data Engineer,140000,0,M
MI,FT,Data Engineer,110000,0,M
MI,FT,Data Analyst,80000,100,M
MI,FT,Data Analyst,50000,100,M
SE,FT,Data Analyst,180000,100,M
SE,FT,Data Analyst,130000,100,M
SE,FT,Data Engineer,200000,0,M
SE,FT,Data Engineer,147000,0,M
SE,FT,Data Analyst,148000,0,M
SE,FT,Data Analyst,125000,0,M
SE,FT,Data Scientist,150000,0,M
SE,FT,Data Scientist,110000,0,M
SE,FT,Data Analyst,245400,100,M
SE,FT,Data Analyst,135800,100,M
SE,FT,Machine Learning Engineer,370000,0,M
SE,FT,Machine Learning Engineer,220000,0,M
EN,FT,Data Engineer,38888,0,M
EN,FT,Data Engineer,30000,0,M
SE,FT,Machine Learning Engineer,280000,100,M
SE,FT,Machine Learning Engineer,184000,100,M
MI,FT,Data Analyst,174000,0,M
MI,FT,Data Analyst,132000,0,M
SE,FT,Machine Learning Engineer,200000,0,M
SE,FT,Machine Learning Engineer,160000,0,M
SE,FT,Data Scientist,150000,0,M
SE,FT,Data Scientist,111000,0,M
SE,FT,Machine Learning Engineer,280000,100,M
SE,FT,Machine Learning Engineer,184000,100,M
SE,FT,Machine Learning Engineer,302900,0,M
SE,FT,Machine Learning Engineer,302900,0,M
MI,FT,Data Engineer,179500,0,M
MI,FT,Data Engineer,149500,0,M
SE,FT,Data Scientist,190000,0,M
SE,FT,Data Scientist,148000,0,M
SE,FT,Data Engineer,190000,100,M
SE,FT,Data Engineer,105301,100,M
SE,FT,Data Scientist,180000,0,M
SE,FT,Data Scientist,139000,0,M
SE,FT,Data Analyst,62500,0,M
SE,FT,Data Analyst,55000,0,M
SE,FT,Machine Learning Engineer,252000,0,M
SE,FT,Machine Learning Engineer,168000,0,M
MI,FT,Data Engineer,85000,0,M
MI,FT,Data Engineer,74880,0,M
SE,FT,Machine Learning Engineer,260000,0,M
SE,FT,Machine Learning Engineer,160000,0,M
SE,FT,Data Engineer,190000,100,M
SE,FT,Data Engineer,150000,100,M
MI,FT,Data Engineer,125000,100,M
MI,FT,Data Engineer,100000,100,M
SE,FT,Data Analyst,170000,100,M
SE,FT,Data Analyst,130000,100,M
MI,FT,Data Engineer,184000,0,M
MI,FT,Data Engineer,123000,0,M
MI,FT,Data Scientist,159550,0,M
MI,FT,Data Scientist,113000,0,M
SE,FT,Data Scientist,222300,0,M
SE,FT,Data Scientist,119700,0,M
MI,FT,Data Scientist,121500,100,M
MI,FT,Data Scientist,88200,100,M
SE,FT,Data Scientist,195800,0,M
SE,FT,Data Scientist,161900,0,M
SE,FT,Data Analyst,142166,0,M
SE,FT,Data Analyst,88854,0,M
SE,FT,Data Engineer,200000,100,M
SE,FT,Data Engineer,96000,100,M
SE,FT,Data Engineer,220000,0,M
SE,FT,Data Engineer,96600,0,M
SE,FT,Data Engineer,195500,0,M
SE,FT,Data Engineer,117300,0,M
SE,FT,Data Engineer,156000,0,M
SE,FT,Data Engineer,124000,0,M
SE,FT,Data Engineer,142500,0,M
SE,FT,Data Engineer,90000,0,M
SE,FT,Data Engineer,171210,0,M
SE,FT,Data Engineer,92190,0,M
MI,FT,Data Scientist,176000,100,M
MI,FT,Data Scientist,72700,100,M
MI,FT,Data Engineer,132600,0,M
MI,FT,Data Engineer,80845,0,M
EX,FT,Data Engineer,250000,0,M
EX,FT,Data Engineer,150000,0,M
SE,FT,Data Scientist,230800,100,M
SE,FT,Data Scientist,96200,100,M
EN,FT,Data Scientist,187415,0,M
EN,FT,Data Scientist,114080,0,M
SE,FT,Data Engineer,277000,0,M
SE,FT,Data Engineer,173000,0,M
MI,FT,Data Engineer,175000,0,M
MI,FT,Data Engineer,117000,0,M
SE,FT,Data Analyst,170000,0,M
SE,FT,Data Analyst,130000,0,M
MI,FT,Data Scientist,172000,0,M
MI,FT,Data Scientist,75600,0,M
EN,FT,Data Analyst,61700,0,M
EN,FT,Data Analyst,55000,0,M
MI,FT,Data Engineer,56250,0,M
MI,FT,Data Engineer,43750,0,M
MI,FT,Data Engineer,148000,0,M
MI,FT,Data Engineer,118000,0,M
SE,FT,Data Scientist,62500,0,M
SE,FT,Data Scientist,62500,0,M
SE,FT,Data Engineer,149076,0,M
SE,FT,Data Engineer,82365,0,M
SE,FT,Data Engineer,160000,0,M
SE,FT,Data Engineer,120000,0,M
SE,FT,Data Engineer,160000,0,M
SE,FT,Data Engineer,115000,0,M
MI,FT,Data Engineer,193000,0,M
MI,FT,Data Engineer,128000,0,M
SE,FT,Machine Learning Engineer,189000,0,M
SE,FT,Machine Learning Engineer,136000,0,M
SE,FT,Machine Learning Engineer,150000,0,M
SE,FT,Machine Learning Engineer,90000,0,M
MI,FT,Machine Learning Engineer,208200,100,M
MI,FT,Machine Learning Engineer,124900,100,M
SE,FT,Data Engineer,150000,0,M
SE,FT,Data Engineer,130000,0,M
SE,FT,Machine Learning Engineer,189000,0,M
SE,FT,Machine Learning Engineer,160000,0,M
SE,FT,Data Engineer,255475,0,M
SE,FT,Data Engineer,185800,0,M
SE,FT,Data Engineer,220000,0,M
SE,FT,Data Engineer,170000,0,M
SE,FT,Machine Learning Engineer,220000,0,M
SE,FT,Machine Learning Engineer,170000,0,M
SE,FT,Data Analyst,113800,100,M
SE,FT,Data Analyst,74400,100,M
SE,FT,Machine Learning Engineer,260000,0,M
MI,FT,Data Scientist,180000,0,M
MI,FT,Data Scientist,140000,0,M
SE,FT,Machine Learning Engineer,252000,0,M
SE,FT,Machine Learning Engineer,181000,0,M
SE,FT,Data Scientist,301126,100,M
SE,FT,Data Scientist,210788,100,M
EN,FT,Data Analyst,20000,100,M
SE,FT,Data Analyst,147500,0,M
SE,FT,Data Analyst,85000,0,M
EN,FT,Data Analyst,102927,0,M
EN,FT,Data Analyst,95010,0,M
EN,FT,Data Analyst,83000,100,M
EN,FT,Data Analyst,64000,100,M
SE,FT,Data Engineer,200000,100,M
SE,FT,Data Engineer,90000,100,M
EN,FT,Data Analyst,99200,100,M
EN,FT,Data Analyst,69400,100,M
SE,FT,Data Engineer,179000,0,M
SE,FT,Data Engineer,112000,0,M
SE,FT,Machine Learning Engineer,206000,0,M
SE,FT,Machine Learning Engineer,97335,0,M
MI,FT,Machine Learning Engineer,223900,100,M
MI,FT,Machine Learning Engineer,140100,100,M
SE,FT,Data Analyst,207300,0,M
SE,FT,Data Analyst,114700,0,M
SE,FT,Data Scientist,265000,100,M
SE,FT,Data Scientist,220000,100,M
SE,FT,Machine Learning Engineer,306000,0,M
SE,FT,Machine Learning Engineer,151600,0,M
SE,FT,Data Scientist,167500,0,M
SE,FT,Data Scientist,138500,0,M
MI,FT,Data Scientist,194000,0,M
MI,FT,Data Scientist,125500,0,M
SE,FT,Data Engineer,194500,0,M
SE,FT,Data Engineer,147368,0,M
MI,FT,Data Engineer,165000,0,M
MI,FT,Data Engineer,117000,0,M
SE,FT,Data Analyst,170000,0,M
SE,FT,Data Analyst,148000,0,M
SE,FT,Data Scientist,167500,0,M
SE,FT,Data Scientist,138500,0,M
SE,FT,Data Analyst,106260,0,M
SE,FT,Data Analyst,82000,0,M
MI,FT,Data Scientist,105000,0,M
MI,FT,Data Scientist,90000,0,M
SE,FT,Data Scientist,170000,0,M
SE,FT,Data Scientist,140000,0,M
MI,FT,Data Scientist,170000,0,M
MI,FT,Data Scientist,145000,0,M
SE,FT,Data Engineer,233000,0,M
SE,FT,Data Engineer,140000,0,M
SE,FT,Data Analyst,202800,0,M
SE,FT,Data Analyst,108200,0,M
SE,FT,Data Scientist,214872,100,M
SE,FT,Data Scientist,186846,100,M
EN,FT,Data Scientist,43750,0,M
EN,FT,Data Scientist,37500,0,M
SE,FT,Data Engineer,145360,100,M
SE,FT,Data Engineer,107440,100,M
MI,FT,Data Engineer,181700,0,M
MI,FT,Data Engineer,64300,0,M
EN,FT,Data Analyst,33500,0,M
EN,FT,Data Analyst,33500,0,M
MI,FT,Data Engineer,185000,0,L
MI,FT,Data Engineer,81000,0,L
EN,FT,Data Analyst,77280,0,M
EN,FT,Data Analyst,58000,0,M
EN,FT,Data Scientist,33500,0,M
EN,FT,Data Scientist,33500,0,M
EN,FT,Data Engineer,185000,0,L
EN,FT,Data Engineer,81000,0,L
SE,FT,Data Scientist,150000,0,M
SE,FT,Data Scientist,110000,0,M
SE,FT,Machine Learning Engineer,200000,0,M
SE,FT,Machine Learning Engineer,160000,0,M
MI,FT,Data Scientist,172000,0,M
MI,FT,Data Scientist,75600,0,M
EN,PT,Data Scientist,291340,0,M
EN,PT,Data Scientist,194240,0,M
MI,FT,Data Engineer,152800,0,M
MI,FT,Data Engineer,149282,0,M
SE,FT,Machine Learning Engineer,264500,100,M
SE,FT,Machine Learning Engineer,165600,100,M
MI,FT,Data Scientist,228000,0,M
MI,FT,Data Scientist,134000,0,M
SE,FT,Data Engineer,86666,0,M
SE,FT,Data Engineer,60000,0,M
SE,FT,Data Engineer,155000,0,M
SE,FT,Data Engineer,139500,0,M
MI,FT,Data Engineer,140000,0,M
MI,FT,Data Engineer,100000,0,M
SE,FT,Data Engineer,205000,100,M
SE,FT,Data Engineer,155000,100,M
EN,FT,Data Analyst,110000,100,M
EN,FT,Data Analyst,90000,100,M
EN,FT,Data Analyst,83300,0,M
EN,FT,Data Analyst,47500,0,M
SE,FT,Data Scientist,208500,0,M
SE,FT,Data Scientist,174000,0,M
SE,FT,Data Engineer,170000,0,M
SE,FT,Data Engineer,130000,0,M
MI,FT,Data Engineer,90000,0,M
MI,FT,Data Engineer,70000,0,M
SE,FT,Data Scientist,239000,100,M
SE,FT,Data Scientist,159000,100,M
SE,FT,Data Engineer,145000,0,M
SE,FT,Data Engineer,115000,0,M
SE,FT,Data Engineer,185000,0,M
SE,FT,Data Engineer,160000,0,M
SE,FT,Machine Learning Engineer,240000,0,M
SE,FT,Machine Learning Engineer,178000,0,M
SE,FT,Data Engineer,122000,0,M
SE,FT,Data Engineer,94500,0,M
MI,FT,Data Analyst,152300,0,M
MI,FT,Data Analyst,76200,0,M
SE,FT,Machine Learning Engineer,336000,100,M
SE,FT,Machine Learning Engineer,304000,100,M
MI,FT,Data Analyst,70000,100,M
MI,FT,Data Analyst,51000,100,M
SE,FT,Machine Learning Engineer,223000,0,M
SE,FT,Machine Learning Engineer,185000,0,M
MI,FT,Data Engineer,155000,0,M
MI,FT,Data Engineer,120000,0,M
SE,FT,Data Scientist,213000,0,M
SE,FT,Data Scientist,120700,0,M
MI,FT,Data Engineer,128000,0,M
MI,FT,Data Engineer,81500,0,M
MI,FT,Data Analyst,148017,0,M
MI,FT,Data Analyst,87069,0,M
SE,FT,Data Engineer,175000,0,M
SE,FT,Data Engineer,117000,0,M
MI,FT,Data Analyst,120000,0,M
MI,FT,Data Analyst,105000,0,M
EN,FT,Data Analyst,43500,0,M
EN,FT,Data Analyst,41000,0,M
SE,FT,Data Engineer,234000,0,M
SE,FT,Data Engineer,117000,0,M
SE,FT,Data Analyst,185100,0,M
SE,FT,Data Analyst,148500,0,M
SE,FT,Data Analyst,147000,100,M
SE,FT,Data Analyst,92000,100,M
SE,FT,Data Analyst,130000,100,M
SE,FT,Data Analyst,100000,100,M
SE,FT,Data Scientist,322100,100,M
SE,FT,Data Scientist,173400,100,M
SE,FT,Machine Learning Engineer,370000,0,M
SE,FT,Machine Learning Engineer,220000,0,M
SE,FT,Data Engineer,247300,0,M
SE,FT,Data Engineer,139800,0,M
SE,FT,Data Scientist,213000,0,M
SE,FT,Data Scientist,120700,0,M
SE,FT,Data Engineer,172000,100,M
SE,FT,Data Engineer,141000,100,M
EN,FT,Data Analyst,100000,100,M
EN,FT,Data Analyst,90000,100,M
SE,FT,Data Engineer,135000,0,M
SE,FT,Data Engineer,115000,0,M
SE,FT,Data Engineer,130000,0,M
SE,FT,Data Engineer,100000,0,M
SE,FT,Data Scientist,240901,100,M
SE,FT,Data Scientist,168630,100,M
MI,FT,Data Analyst,100000,0,M
MI,FT,Data Analyst,90000,0,M
EX,FT,Data Engineer,273600,100,M
EX,FT,Data Engineer,182400,100,M
SE,FT,Data Scientist,202500,0,M
SE,FT,Data Scientist,135000,0,M
MI,FT,Data Engineer,159550,0,M
MI,FT,Data Engineer,113000,0,M
EX,FT,Data Engineer,253900,0,M
EX,FT,Data Engineer,145100,0,M
EN,FT,Data Analyst,64500,0,M
EN,FT,Data Analyst,46500,0,M
SE,FT,Data Engineer,120750,0,M
SE,FT,Data Engineer,85000,0,M
SE,FT,Data Analyst,144606,0,M
SE,FT,Data Analyst,128539,0,M
MI,FT,Data Engineer,131700,0,M
MI,FT,Data Engineer,84000,0,M
MI,FT,Data Analyst,179000,0,M
MI,FT,Data Analyst,112000,0,M
SE,FT,Data Analyst,194000,0,M
SE,FT,Data Analyst,122000,0,M
MI,FT,Data Scientist,99000,0,M
MI,FT,Data Scientist,87000,0,M
MI,FT,Machine Learning Engineer,176000,0,M
MI,FT,Machine Learning Engineer,72700,0,M
MI,FT,Data Engineer,145000,0,M
MI,FT,Data Engineer,120000,0,M
SE,FT,Data Analyst,114200,0,M
SE,FT,Data Analyst,92900,0,M
SE,FT,Data Engineer,219700,0,M
SE,FT,Data Engineer,137300,0,M
MI,FT,Data Scientist,55328,0,M
MI,FT,Data Scientist,42457,0,M
SE,FT,Data Analyst,95000,0,M
SE,FT,Data Analyst,85000,0,M
EN,FT,Data Scientist,194500,0,M
EN,FT,Data Scientist,125500,0,M
MI,FT,Data Scientist,187000,0,M
MI,FT,Data Scientist,153000,0,M
MI,FT,Data Scientist,130500,0,M
MI,FT,Data Scientist,96000,0,M
SE,FT,Data Engineer,153000,100,M
SE,FT,Data Engineer,122000,100,M
MI,FT,Data Scientist,170000,100,M
MI,FT,Data Scientist,100000,100,M
SE,FT,Data Scientist,208000,0,M
SE,FT,Data Scientist,175000,0,M
SE,FT,Data Scientist,239000,0,M
SE,FT,Data Scientist,177000,0,M
SE,FT,Data Engineer,135000,100,M
SE,FT,Data Engineer,110000,100,M
MI,FT,Data Scientist,177300,0,M
MI,FT,Data Scientist,136300,0,M
SE,FT,Data Scientist,250944,100,M
SE,FT,Data Scientist,178538,100,M
SE,FT,Data Scientist,180000,100,M
SE,FT,Data Scientist,140000,100,M
SE,FT,Data Engineer,250000,100,M
SE,FT,Data Engineer,180700,100,M
SE,FT,Data Analyst,140000,0,M
SE,FT,Data Analyst,107000,0,M
MI,FT,Data Analyst,155700,0,M
MI,FT,Data Analyst,75500,0,M
MI,FT,Data Scientist,172000,0,M
MI,FT,Data Scientist,75600,0,M
SE,FT,Data Analyst,190000,0,M
SE,FT,Data Analyst,152000,0,M
MI,FT,Data Analyst,84105,0,M
MI,FT,Data Analyst,76095,0,M
SE,FT,Data Engineer,143706,100,M
SE,FT,Data Engineer,84533,100,M
SE,FT,Data Scientist,77777,0,M
SE,FT,Data Scientist,44444,0,M
SE,FT,Data Analyst,165000,100,M
SE,FT,Data Analyst,165000,100,M
MI,FT,Data Scientist,80000,0,M
MI,FT,Data Scientist,52500,0,M
SE,FT,Data Scientist,213000,0,M
SE,FT,Data Scientist,120700,0,M
SE,FT,Data Scientist,200000,100,M
SE,FT,Data Scientist,160000,100,M
SE,FT,Machine Learning Engineer,169200,0,M
SE,FT,Machine Learning Engineer,130100,0,M
MI,FT,Data Engineer,136400,100,M
MI,FT,Data Engineer,77000,100,M
SE,FT,Machine Learning Engineer,179000,0,M
SE,FT,Machine Learning Engineer,140000,0,M
SE,FT,Data Scientist,247600,0,L
SE,FT,Data Scientist,127300,0,L
SE,FT,Data Scientist,209000,0,M
SE,FT,Data Scientist,171000,0,M
SE,FT,Data Scientist,243000,0,M
SE,FT,Data Scientist,192000,0,M
SE,FT,Data Analyst,160000,0,M
SE,FT,Data Analyst,128000,0,M
SE,FT,Data Engineer,178500,0,M
SE,FT,Data Engineer,156312,0,M
MI,FT,Machine Learning Engineer,208200,100,M
MI,FT,Machine Learning Engineer,124900,100,M
MI,FT,Data Engineer,300000,0,M
MI,FT,Data Engineer,130000,0,M
MI,FT,Machine Learning Engineer,200000,0,M
MI,FT,Machine Learning Engineer,160000,0,M
SE,FT,Machine Learning Engineer,355000,0,M
SE,FT,Machine Learning Engineer,213500,0,M
SE,FT,Data Engineer,185000,0,M
SE,FT,Data Engineer,102600,0,M
EN,FT,Data Analyst,62500,0,M
MI,FT,Data Engineer,110000,0,M
MI,FT,Data Engineer,90000,0,M
MI,FT,Data Engineer,108600,100,M
MI,FT,Data Engineer,74400,100,M
EN,FT,Data Analyst,225000,0,M
EN,FT,Data Analyst,150000,0,M
EN,FT,Data Analyst,129000,0,M
EN,FT,Data Analyst,86000,0,M
MI,FT,Data Scientist,172000,0,M
MI,FT,Data Scientist,75600,0,M
MI,FT,Machine Learning Engineer,265400,0,M
MI,FT,Machine Learning Engineer,127400,0,M
EN,FT,Data Scientist,175100,0,M
EN,FT,Data Scientist,82915,0,M
MI,FT,Data Scientist,155000,0,M
MI,FT,Data Scientist,135000,0,M
MI,FT,Data Scientist,150200,0,M
MI,FT,Data Scientist,100100,0,M
SE,FT,Data Engineer,220000,0,M
SE,FT,Data Engineer,137500,0,M
MI,FT,Data Scientist,165000,0,M
MI,FT,Data Scientist,110000,0,M
EN,FT,Data Analyst,54000,100,M
EN,FT,Data Analyst,43400,100,M
MI,FT,Data Analyst,101081,0,M
MI,FT,Data Analyst,78108,0,M
SE,FT,Machine Learning Engineer,324000,0,M
SE,FT,Machine Learning Engineer,159000,0,M
SE,FT,Data Engineer,277000,0,M
SE,FT,Data Engineer,173000,0,M
MI,FT,Data Engineer,137000,0,M
MI,FT,Data Engineer,60300,0,M
MI,FT,Data Scientist,225000,0,M
MI,FT,Data Scientist,200000,0,M
SE,FT,Data Analyst,180500,0,M
SE,FT,Data Analyst,96200,0,M
MI,FT,Machine Learning Engineer,245400,0,M
MI,FT,Machine Learning Engineer,139000,0,M
SE,FT,Machine Learning Engineer,208500,0,M
SE,FT,Machine Learning Engineer,100100,0,M
SE,FT,Data Scientist,50000,0,M
SE,FT,Data Scientist,31250,0,M
SE,FT,Machine Learning Engineer,173000,100,M
SE,FT,Machine Learning Engineer,108000,100,M
EN,FT,Data Analyst,144000,100,M
EN,FT,Data Analyst,81000,100,M
SE,FT,Data Analyst,110000,100,M
SE,FT,Data Analyst,100000,100,M
SE,FT,Data Scientist,230300,0,M
SE,FT,Data Scientist,114700,0,M
SE,FT,Machine Learning Engineer,245400,0,M
SE,FT,Machine Learning Engineer,139000,0,M
SE,FT,Data Analyst,108334,0,M
SE,FT,Data Analyst,59923,0,M
SE,FT,Data Scientist,249000,0,M
SE,FT,Data Scientist,216000,0,M
SE,FT,Data Engineer,241000,100,M
SE,FT,Data Engineer,172000,100,M
MI,FT,Machine Learning Engineer,223600,0,L
MI,FT,Machine Learning Engineer,115000,0,L
MI,FT,Data Engineer,175000,100,M
MI,FT,Data Engineer,100000,100,M
SE,FT,Machine Learning Engineer,75000,100,M
SE,FT,Machine Learning Engineer,55000,100,M
SE,FT,Data Analyst,150000,100,M
SE,FT,Data Analyst,120000,100,M
SE,FT,Data Engineer,235000,100,M
